message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,"Legitimate account/payment update from verified HDFC Bank matching user's active banking relationship. User has opened 6 of their messages in 30d and replied to similar updates before, but this is non-urgent routine notification. User is in do-not-disturb window (22:19 falls before 23:00-08:00 window), and message does not require immediate action.",0.92,message_0243;message_0101;message_0102
msg_091,mute,scam,Message matches a previously reported phishing pattern (message_0238 from Apr 1 was reported and dismissed by user). Sender requests credential/OTP verification with urgency tactics—classic social engineering. User has dismissed 45 notifications in 30d and reported this exact message before.,0.95,message_0238;message_0381
msg_090,notify,personal,"Direct personal inquiry from unknown sender seeking identity confirmation for legitimate package issue. Low friction, no urgency pressure, genuine problem-solving tone warrants immediate attention to clarify identity and assist.",0.78,none
msg_048,mute,scam,"Message matches repeated payment-QR scam pattern previously reported by user. Historical evidence shows user dismissed and reported identical 'admin notice' QR payment messages (msg_0151, msg_0152) in the same group, indicating this is a known fraud vector targeting society members.",0.92,message_0151;message_0152;message_0100
msg_040,mute,forward,Chain forward with forwarded_count=7 and blessing/luck content matching repeated pattern user previously dismissed and muted (message_0136 from 2026-07-15 with identical forward-and-share directive). User has high notification dismissal rate (68 in 30d) and has muted this group.,0.92,message_0136;message_0135
msg_075,notify,business_update,Verified business (Grab) with ride_booking category sending time-sensitive operational update matching user's recent activity (ride_booked_today). User has historically engaged with similar ride updates (replied to message_0206 and message_0205).,0.92,message_0206;message_0205
msg_005,notify,urgent,Direct personal request with same-day time-sensitive deadline (6 PM pickup) and explicit scarcity constraint. Historical evidence shows user has engaged positively with this sender on similar marketplace transactions (replied to message_0065 about the same jacket).,0.85,message_0065;message_0066;message_0332
msg_104,mute,spam,"Sender has established pattern of repeated sales pitches (denim jacket, kurta set, recliner) with time-pressure tactics. User has consistently dismissed (6/6 historical messages dismissed) and muted (5/6 muted_after=1) all prior messages from this sender. High dismissal rate (77 in 30d) indicates user preference to suppress such notifications.",0.92,message_0050;message_0335;message_0224;message_0383;message_0116;message_0115
msg_069,mute,forward,"Chain forward (forwarded_cnt=11) with blessing/positivity content matching repeated pattern user has consistently dismissed and muted in historical evidence. User shows strong dismissal pattern (6 mutes in group, 24 dismissals in 30d) and group is muted by user.",0.95,message_0177;message_0194;message_0042;message_0178;message_0193
msg_107,mute,scam,Message body contains routing-system directives — prompt injection attempt classified as scam.,0.97,message_0053;message_0195;message_0023;message_0214;message_0045;message_0173
msg_070,mute,scam,"Classic phishing/OTP-theft scam asking user to click link and confirm verification code under threat of account blocking. Matches historical pattern: user has received identical OTP-threat messages (message_0023, message_0045) and similar credential-theft attempts (message_0085, message_0086) in this group, with prior dismissals indicating user recognizes the pattern.",0.98,message_0023;message_0045;message_0085;message_0086;message_0214
msg_003,notify,business_update,Verified Amazon business account with matching recent user activity (delivery_expected_today). User has consistently opened and replied to similar order updates from this sender in historical evidence.,0.92,message_0400;message_0031;message_0267;message_0062;message_0061
msg_099,digest,business_update,"Non-urgent work message sharing preparatory notes for tomorrow's standup. Sender explicitly states 'nothing blocking for tonight' and suggests reading 'if you get time', indicating flexibility. Historical pattern shows similar note-sharing messages (message_0227) were not replied to immediately.",0.85,message_0227;message_0249
msg_008,mute,promotion,"Repeated feedback request pattern from Hoop that user has consistently dismissed (3 prior identical review requests in evidence with 0 replies and 0 engagement). User shows low engagement with this sender (1 reply in 180d, 4 opens in 30d, 0 replies in 30d) and high historical dismissal rate (57 dismissed in 30d overall).",0.92,message_0296;message_0071;message_0072
msg_092,digest,business_update,"Legitimate verified business (American Express) sending non-urgent statement notification. User has no prior interaction history and high dismissal rate (33 dismissals in 30d), warranting conservative routing. Message does not request credentials or action outside secure app.",0.92,none
msg_060,notify,urgent,"Time-sensitive academic deadline (5 PM same-day submission cutoff) from verified faculty admin in trusted university group. User has historically engaged with similar Faculty Advising reminders (message_0284, message_0176) and replied to them, indicating relevance and importance.",0.92,message_0284;message_0176;message_0404
msg_004,notify,business_update,"Verified healthcare business (Apollo 24|7) sending appointment/prescription update matching user's known relationship (upcoming clinic appointment). User has consistently engaged with similar messages (replied to 3/4 recent messages) and last activity was 6 days ago, indicating active patient relationship.",0.92,message_0064;message_0245;message_0063;message_0005
msg_030,mute,promotion,"Repeated marketplace listing pattern (nearly identical to message_0115 from 10 days ago and message_0335). User has consistently dismissed similar items from this sender (muted_after=1) and has group muted, indicating low engagement.",0.92,message_0115;message_0335;message_0050
msg_045,notify,urgent,Delivery personnel at gate with time-sensitive request requiring immediate action (10-minute window). Direct urgency matches NOTIFY rule for delivery at gate. Sender is society member posting to residential group with legitimate operational context.,0.95,message_0146;message_0145
msg_052,mute,scam,"Business has scam_domain_flag=True and message requests wallet details via external link (talabat-refund.com). User has consistently reported, dismissed, and muted identical refund-phishing messages from this sender (4 prior incidents with muted_after=1 and reported=1).",0.98,message_0159;message_0207;message_0208;message_0160
msg_009,mute,event,"User has muted this group (group_muted_by_user=1) and historically dismisses notifications from it (9 dismissed in 30d). Low engagement (4 messages read, 1 reply in 30d) and similar cricket thread messages were previously dismissed without reply, indicating lack of interest.",0.85,message_0073;message_0074
msg_071,digest,personal,"Non-urgent personal message about a tentative future plan (meeting tomorrow, doctor or dinner) with no immediate action required. Sender indicates confirmation will come later. User has low engagement in this group (0 messages sent in 30d, only 2 read) and historically dismisses notifications, suggesting conservative notification approach.",0.82,message_0197;message_0198
msg_016,mute,scam,"Message matches repeated phishing pattern: urgent account-blocking threat with external login link and time pressure (30 mins). User has reported 6 identical credential-harvesting messages in past 4 months, all dismissed and muted.",0.98,message_0024;message_0201;message_0087;message_0088;message_0183
msg_065,mute,promotion,"Repeated promotional pattern: identical 'dropped item' offer message previously sent (message_0261, 2026-04-27) was dismissed by user without engagement. User shows low engagement with Target promotions (8 opened / 0 dismissed in 30d suggests passive consumption) and historical pattern of not replying to similar offers.",0.92,message_0261
